,Entry.name,Gene.names,Gene.names...primary..,Gene.names...synonym..,Gene.names...ordered.locus..,Gene.names...ORF..,Organism,Organism.ID,Protein.names,Proteomes,Taxonomic.lineage..ALL.,Virus.hosts
Q9H9G7,AGO3_HUMAN,AGO3 EIF2C3,AGO3,EIF2C3,NA,NA,Homo sapiens (Human),9606,Protein argonaute-3 (Argonaute3) (hAgo3) (EC 3.1.26.n2) (Argonaute RISC catalytic component 3) (Eukaryotic translation initiation factor 2C 3) (eIF-2C 3) (eIF2C 3),UP000005640: Chromosome 1,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)",NA
Q9UKV8,AGO2_HUMAN,AGO2 EIF2C2,AGO2,EIF2C2,NA,NA,Homo sapiens (Human),9606,Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer),UP000005640: Chromosome 8,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)",NA
Q9HCK5,AGO4_HUMAN,AGO4 EIF2C4 KIAA1567,AGO4,EIF2C4 KIAA1567,NA,NA,Homo sapiens (Human),9606,Protein argonaute-4 (Argonaute4) (hAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4),UP000005640: Chromosome 1,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)",NA
Q9UL18,AGO1_HUMAN,AGO1 EIF2C1,AGO1,EIF2C1,NA,NA,Homo sapiens (Human),9606,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),UP000005640: Chromosome 1,"cellular organisms, Eukaryota, Opisthokonta, Metazoa, Eumetazoa, Bilateria, Deuterostomia, Chordata, Craniata, Vertebrata, Gnathostomata (jawed vertebrates), Teleostomi, Euteleostomi, Sarcopterygii, Dipnotetrapodomorpha, Tetrapoda, Amniota, Mammalia, Theria, Eutheria, Boreoeutheria, Euarchontoglires, Primates, Haplorrhini, Simiiformes, Catarrhini, Hominoidea (apes), Hominidae (great apes), Homininae, Homo, Homo sapiens (Human)",NA
E8N0K8,E8N0K8_ANATU,ANT_27310,NA,NA,ANT_27310,NA,Anaerolinea thermophila (strain DSM 14523 / JCM 11388 / NBRC 100420 / UNI-1),926569,Piwi domain-containing protein,UP000008922: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae, Anaerolinea, Anaerolinea thermophila, Anaerolinea thermophila (strain DSM 14523 / JCM 11388 / NBRC 100420 / UNI-1)",NA
A0A1I7IXT4,A0A1I7IXT4_9FLAO,SAMN05216480_12420,NA,NA,NA,SAMN05216480_12420,Pustulibacterium marinum,1224947,Piwi domain-containing protein,UP000199138: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Pustulibacterium, Pustulibacterium marinum",NA
A0A2W1JZ37,A0A2W1JZ37_9FLAO,DNG35_02675,NA,NA,NA,DNG35_02675,Mesonia sp. K7,2218606,Piwi domain-containing protein,UP000249791: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Mesonia, unclassified Mesonia, Mesonia sp. K7",NA
A0A2S7WBN3,A0A2S7WBN3_9FLAO,BTO13_05895,NA,NA,NA,BTO13_05895,Polaribacter gangjinensis,574710,Piwi domain-containing protein,UP000237608: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, Polaribacter gangjinensis",NA
A0A328VKE4,A0A328VKE4_9CHLR,A4R35_22750,NA,NA,NA,A4R35_22750,Thermogemmatispora tikiterensis,1825093,Piwi domain-containing protein,UP000248706: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Ktedonobacteria, Thermogemmatisporales, Thermogemmatisporaceae, Thermogemmatispora, Thermogemmatispora tikiterensis",NA
A0A420DFE6,A0A420DFE6_9FLAO,BXY80_2746,NA,NA,NA,BXY80_2746,Ichthyenterobacterium magnum,1230530,Argonaute-like protein,UP000284892: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Ichthyenterobacterium, Ichthyenterobacterium magnum",NA
E0ST67,E0ST67_IGNAA,Igag_0714,NA,NA,Igag_0714,NA,Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1),583356,Piwi domain-containing protein,UP000001304: Chromosome,"cellular organisms, Archaea, TACK group, Crenarchaeota, Thermoprotei, Desulfurococcales, Desulfurococcaceae, Ignisphaera, Ignisphaera aggregans, Ignisphaera aggregans (strain DSM 17230 / JCM 13409 / AQ1.S1)",NA
A0A4V1VDY2,A0A4V1VDY2_9FLAO,EVU94_08270,NA,NA,NA,EVU94_08270,Flavobacteriaceae bacterium 144Ye,2510794,Piwi domain-containing protein,UP000293664: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, unclassified Flavobacteriaceae, Flavobacteriaceae bacterium 144Ye",NA
A0A368P5I0,A0A368P5I0_9FLAO,DU428_07015,NA,NA,NA,DU428_07015,Oceanihabitans sediminis,1812012,Piwi domain-containing protein,UP000252249: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Oceanihabitans, Oceanihabitans sediminis",NA
C4L1M1,C4L1M1_EXISA,EAT1b_2130,NA,NA,EAT1b_2130,NA,Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b),360911,Stem cell self-renewal protein Piwi domain protein,UP000000716: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillales incertae sedis, Bacillales Family XII. Incertae Sedis, Exiguobacterium, unclassified Exiguobacterium, Exiguobacterium sp. (strain ATCC BAA-1283 / AT1b)",NA
A0A4R1RMM2,A0A4R1RMM2_9FLAO,EV196_10287,NA,NA,NA,EV196_10287,Mariniflexile fucanivorans,264023,Argonaute-like protein,UP000295455: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Mariniflexile, Mariniflexile fucanivorans",NA
A0A1Y2RDH8,A0A1Y2RDH8_9BACT,CAP36_02810,NA,NA,NA,CAP36_02810,Chitinophagaceae bacterium IBVUCB2,1985174,Piwi domain-containing protein,UP000194400: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, unclassified Chitinophagaceae, Chitinophagaceae bacterium IBVUCB2",NA
Q11QW7,A0A6N4SUP6_CYTH3,CHU_2955,NA,NA,CHU_2955,NA,Cytophaga hutchinsonii (strain ATCC 33406 / DSM 1761 / CIP 103989 / NBRC 15051 / NCIMB 9469 / D465),269798,Piwi domain-containing protein,UP000001822: Chromosome,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Cytophaga, Cytophaga hutchinsonii, Cytophaga hutchinsonii (strain ATCC 33406 / DSM 1761 / CIP 103989 / NBRC 15051 / NCIMB 9469 / D465)",NA
A0A1M5ZSR3,A0A1M5ZSR3_9FLAO,SAMN04487999_3454,NA,NA,NA,SAMN04487999_3454,Leeuwenhoekiella palythoae,573501,Piwi domain-containing protein,UP000184240: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Leeuwenhoekiella, Leeuwenhoekiella palythoae",NA
A0A0K8QX04,A0A0K8QX04_9BACT,BA6E_11320,NA,NA,NA,BA6E_11320,Bacteroidales bacterium 6E,1688776,Protein containing Piwi domain,UP000251980: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, unclassified Bacteroidales, Bacteroidales bacterium 6E",NA
A0A0M2PXX3,A0A0M2PXX3_PROHO,PROH_13095,NA,NA,NA,PROH_13095,Prochlorothrix hollandica PCC 9006 = CALU 1027,317619,Piwi domain-containing protein,UP000034681: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Prochlorotrichaceae, Prochlorothrix, Prochlorothrix hollandica, Prochlorothrix hollandica PCC 9006 = CALU 1027",NA
A0A1I3LMA1,A0A1I3LMA1_9BACL,SAMN05421852_102249,NA,NA,NA,SAMN05421852_102249,Thermoflavimicrobium dichotomicum,46223,Piwi domain-containing protein,UP000199545: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Thermoactinomycetaceae, Thermoflavimicrobium, Thermoflavimicrobium dichotomicum",NA
K9TPA9,K9TPA9_9CYAN,Oscil6304_4479,NA,NA,NA,Oscil6304_4479,Oscillatoria acuminata PCC 6304,56110,Uncharacterized protein containing piwi/argonaute domain,UP000010367: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Oscillatoriaceae, Oscillatoria, Oscillatoria acuminata, Oscillatoria acuminata PCC 6304",NA
A0A1L3JHM3,A0A1L3JHM3_9FLAO,LPB136_04340,NA,NA,NA,LPB136_04340,Tenacibaculum todarodis,1850252,Piwi domain-containing protein,UP000181898: Chromosome,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Tenacibaculum, Tenacibaculum todarodis",NA
A0A1W6MIP2,A0A1W6MIP2_9FLAO,BST97_05390,NA,NA,NA,BST97_05390,Nonlabens spongiae,331648,Uncharacterized protein,UP000193431: Chromosome,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Nonlabens, Nonlabens spongiae",NA
A0A1C0UUC4,A0A1C0UUC4_9CYAN,BCR12_00220,NA,NA,NA,BCR12_00220,Limnothrix sp. P13C2,1880902,Piwi domain-containing protein,UP000093334: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Pseudanabaenaceae, Limnothrix, unclassified Limnothrix, Limnothrix sp. P13C2",NA
A0A2U2J9E0,A0A2U2J9E0_9FLAO,DIS07_10700,NA,NA,NA,DIS07_10700,Polaribacter sp. ZY113,2100726,Piwi domain-containing protein,UP000245670: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Polaribacter, unclassified Polaribacter, Polaribacter sp. ZY113",NA
A0A2Z6E1D5,A0A2Z6E1D5_HYDTE,HPTL_P064,NA,NA,NA,HPTL_P064,Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila),297,Piwi domain-containing protein,UP000262004: Plasmid pth1 dna,"cellular organisms, Bacteria, Proteobacteria, Hydrogenophilalia, Hydrogenophilales, Hydrogenophilaceae, Hydrogenophilus, Hydrogenophilus thermoluteolus (Pseudomonas hydrogenothermophila)",NA
A0A0F4NXW8,A0A0F4NXW8_PSEO7,CWB94_11715 TW75_14215,NA,NA,NA,CWB94_11715 TW75_14215,Pseudoalteromonas piscicida,43662,Piwi domain-containing protein,"UP000033511: Unassembled WGS sequence, UP000310378: Unassembled WGS sequence","cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas, Pseudoalteromonas piscicida",NA
A0A142XB92,A0A142XB92_9BACT,VT84_07450,NA,NA,NA,VT84_07450,Gemmata sp. SH-PL17,1630693,Uncharacterized protein,UP000076098: Chromosome,"cellular organisms, Bacteria, PVC group, Planctomycetes, Planctomycetia, Gemmatales, Gemmataceae, Gemmata, unclassified Gemmata, Gemmata sp. SH-PL17",NA
L8D0R3,L8D0R3_9GAMM,NA,NA,NA,NA,NA,Pseudoalteromonas luteoviolacea,NA,Deleted.,NA,"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Pseudoalteromonadaceae, Pseudoalteromonas, Pseudoalteromonas luteoviolacea",NA
B1XJG0,B1XJG0_SYNP2,SYNPCC7002_A1017,NA,NA,SYNPCC7002_A1017,NA,Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum),32049,Piwi domain-containing protein,UP000001688: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, unclassified Synechococcus, Synechococcus sp. (strain ATCC 27264 / PCC 7002 / PR-6) (Agmenellum quadruplicatum)",NA
A0A326U7G5,A0A326U7G5_9CHLR,EI42_02216,NA,NA,NA,EI42_02216,Thermosporothrix hazakensis,644383,Piwi domain-containing protein,UP000248806: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Chloroflexi, Ktedonobacteria, Ktedonobacterales, Thermosporotrichaceae, Thermosporothrix, Thermosporothrix hazakensis",NA
A0A3D8L290,A0A3D8L290_9BACT,DXT99_25195,NA,NA,NA,DXT99_25195,Pontibacter diazotrophicus,1400979,Piwi domain-containing protein,UP000256708: Unassembled WGS sequence,"cellular organisms, Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Hymenobacteraceae, Pontibacter, Pontibacter diazotrophicus",NA
H1KXR6,H1KXR6_9EURY,MetfoDRAFT_0589,NA,NA,NA,MetfoDRAFT_0589,Methanotorris formicicus Mc-S-70,647171,Stem cell self-renewal protein Piwi,UP000003706: Unassembled WGS sequence,"cellular organisms, Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanocaldococcaceae, Methanotorris, Methanotorris formicicus, Methanotorris formicicus Mc-S-70",NA
A0A1Q4R485,A0A1Q4R485_9CYAN,NIES208_09755,NA,NA,NA,NIES208_09755,Limnothrix rosea IAM M-220,454133,Piwi domain-containing protein,UP000185811: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Pseudanabaenaceae, Limnothrix, Limnothrix rosea, Limnothrix rosea IAM M-220",NA
K9U8J6,K9U8J6_CHRTP,Chro_5199,NA,NA,NA,Chro_5199,Chroococcidiopsis thermalis (strain PCC 7203),251229,Stem cell self-renewal protein Piwi,UP000010384: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Chroococcidiopsidales, Chroococcidiopsidaceae, Chroococcidiopsis, Chroococcidiopsis thermalis, Chroococcidiopsis thermalis (strain PCC 7203)",NA
A0A097QRL6,A0A097QRL6_9EURY,TEU_01520,NA,NA,NA,TEU_01520,Thermococcus eurythermalis,1505907,Piwi domain-containing protein,UP000029980: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus, Thermococcus eurythermalis",NA
K9RC91,K9RC91_9CYAN,Riv7116_2591,NA,NA,NA,Riv7116_2591,Rivularia sp. PCC 7116,373994,Uncharacterized protein containing piwi/argonaute domain,UP000010380: Chromosome,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Rivulariaceae, Rivularia, unclassified Rivularia (in: Bacteria), Rivularia sp. PCC 7116",NA
A0A0D8ZUC0,A0A0D8ZUC0_9CYAN,UH38_09840,NA,NA,NA,UH38_09840,Aliterella atlantica CENA595,1618023,Stem cell self-renewal protein Piwi,UP000032452: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Chroococcidiopsidales, Chroococcidiopsidaceae, Aliterella, Aliterella atlantica, Aliterella atlantica CENA595",NA
A0A139XGN8,A0A139XGN8_9CYAN,WA1_01510,NA,NA,NA,WA1_01510,Scytonema hofmannii PCC 7110,128403,Stem cell self-renewal protein Piwi,UP000076925: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Scytonemataceae, Scytonema, Scytonema hofmannii, Scytonema hofmannii PCC 7110",NA
A0A1T4Y3A2,A0A1T4Y3A2_9GAMM,SAMN02745130_03868,NA,NA,NA,SAMN02745130_03868,Thiothrix eikelboomii,92487,Piwi domain-containing protein,UP000190460: Unassembled WGS sequence,"cellular organisms, Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Thiotrichaceae, Thiothrix, Thiothrix eikelboomii",NA
Q5P0R2,Q5P0R2_AROAE,ebA5244,NA,NA,NA,ebA5244,Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1)),76114,Piwi domain-containing protein,UP000006552: Chromosome,"cellular organisms, Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Aromatoleum, Aromatoleum aromaticum, Aromatoleum aromaticum (strain EbN1) (Azoarcus sp. (strain EbN1))",NA
B6YTQ5,B6YTQ5_THEON,TON_1506,NA,NA,TON_1506,NA,Thermococcus onnurineus (strain NA1),523850,Piwi domain-containing protein,UP000002727: Chromosome,"cellular organisms, Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus, Thermococcus onnurineus, Thermococcus onnurineus (strain NA1)",NA
A0A0B0H9B4,A0A0B0H9B4_9BACI,LR68_04419,NA,NA,NA,LR68_04419,Anoxybacillus sp. BCO1,1548750,Piwi domain protein,UP000030702: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Anoxybacillus, unclassified Anoxybacillus, Anoxybacillus sp. BCO1",NA
A0YYT3,A0YYT3_LYNSP,L8106_18222,NA,NA,NA,L8106_18222,Lyngbya sp. (strain PCC 8106) (Lyngbya aestuarii (strain CCY9616)),313612,Piwi domain-containing protein,UP000000737: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Oscillatoriaceae, Lyngbya, unclassified Lyngbya, Lyngbya sp. (strain PCC 8106) (Lyngbya aestuarii (strain CCY9616))",NA
A0A163JTZ6,A0A163JTZ6_ABSGL,ABSGL_08919.1 scaffold 10588,ABSGL_08919.1 scaffold 10588,NA,NA,NA,Absidia glauca (Pin mould),4829,Uncharacterized protein,UP000078561: Unassembled WGS sequence,"cellular organisms, Eukaryota, Opisthokonta, Fungi, Fungi incertae sedis, Mucoromycota, Mucoromycotina, Mucoromycetes, Mucorales (pin moulds), Cunninghamellaceae, Absidia, Absidia glauca (Pin mould)",NA
A0A2T1EFY0,A0A2T1EFY0_9CHRO,C7B70_12325,NA,NA,NA,C7B70_12325,Chlorogloea sp. CCALA 695,2107693,Stem cell self-renewal protein Piwi,UP000238278: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Chroococcales, Entophysalidaceae, Chlorogloea, unclassified Chlorogloea, Chlorogloea sp. CCALA 695",NA
G6FTN0,G6FTN0_9CYAN,FJSC11DRAFT_2227,NA,NA,NA,FJSC11DRAFT_2227,Fischerella thermalis,372787,Stem cell self-renewal protein Piwi,UP000004344: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Hapalosiphonaceae, Fischerella, Fischerella thermalis",NA
R6KUL9,R6KUL9_9CLOT,BN573_01151,NA,NA,NA,BN573_01151,Clostridium sp. CAG:265,1262787,Piwi domain protein,UP000018277: Unassembled WGS sequence,"cellular organisms, Bacteria, Terrabacteria group, Firmicutes, Clostridia, Eubacteriales, Clostridiaceae, Clostridium, environmental samples, Clostridium sp. CAG:265",NA
